symbol1	symbol2	score	gene1	gene2
KDM5B	KDM5A	4.99204820831631	10765	5927
KDM5B	KDM5D	4.99204820831631	10765	8284
H2AC21	H2AC19	4.99187015708117	317772	723790
NSMCE1	SMC6	4.991586006579	197370	79677
SGF29	TADA1	4.98816636373072	112869	117143
APEX1	MUTYH	4.98512454921413	328	4595
PIAS3	PIAS1	4.98422981754304	10401	8554
GTF2H2	GTF2H5	4.9829167839093	2966	404672
FANCD2	FAN1	4.98262022370128	2177	22909
CDK2	CCNA2	4.98252820753861	1017	890
H2AZ1	H2AC4	4.98226907602399	3015	8335
H2AC8	H2AC13	4.98184818622497	3012	8329
TERF1	TNKS	4.98136996004305	7013	8658
H2AC4	H2AW	4.97989340003285	8335	92815
H2AX	H2AC20	4.9789245117136	3014	8338
H2AC8	H2AC12	4.97879332718941	3012	85235
H2AC19	H2AC4	4.97871846133526	723790	8335
H2AC8	H2AC21	4.97717012465625	3012	317772
FANCC	FAAP100	4.97709675225242	2176	80233
SMAD4	TGFBR1	4.97547630360561	4089	7046
H2AZ1	H2AC11	4.9753545549324	3015	8969
H2AC21	H2AC17	4.97488985843249	317772	8336
H2AC8	H2AZ1	4.97452033569291	3012	3015
H2AC16	H2AC4	4.97421648089653	8332	8335
DAXX	ATRX	4.97319718916059	1616	546
H2AC8	H2AC14	4.97271516762184	3012	8331
H2AZ1	H2AC17	4.9719340993616	3015	8336
TP53	TP53BP1	4.97019201312183	7157	7158
H2AZ1	H2AC20	4.96970473747426	3015	8338
H2AX	H2AC11	4.96861885623575	3014	8969
CENPS	FAAP24	4.96854717826817	378708	91442
H2AC15	H2AC4	4.96822412693509	8330	8335
POLI	POLK	4.96811982506594	11201	51426
SGF29	SUPT20H	4.96807062318591	112869	55578
EID3	NSMCE4A	4.96784518519798	493861	54780
HDAC8	HDAC3	4.96754457428458	55869	8841
SMARCD1	ARID1A	4.96550291413918	6602	8289
H2AX	H2AC21	4.96519869050281	3014	317772
MSH2	EXO1	4.96512451163541	4436	9156
H2AC4	H2AC20	4.9647997788597	8335	8338
GADD45A	PCNA	4.96447097478955	1647	5111
XRCC6	LIG4	4.96436393192413	2547	3981
H2AC15	H2AC14	4.96101322050497	8330	8331
BRMS1	SUDS3	4.9605398100223	25855	64426
FANCC	FANCB	4.95980591457774	2176	2187
FAAP100	FAAP24	4.95961393165127	80233	91442
POLD3	POLD4	4.95960334533276	10714	57804
FEN1	LIG1	4.95732987781114	2237	3978
UBE2T	FAAP100	4.9569121140654	29089	80233
H2AC17	H2AC12	4.95551688586458	8336	85235
H2BC8	H2BC7	4.95547906883098	8339	8343
H2AC8	H2AC16	4.95498339757162	3012	8332
RAD9A	RAD17	4.95468010728416	5883	5884
CDK7	GTF2H1	4.95462416442848	1022	2965
RAD18	UBE2A	4.9538990070917	56852	7319
ELP3	ELP1	4.95317675854023	55140	8518
CCNA1	CCNE1	4.95170880788499	8900	898
RAD23B	XPC	4.95159579482883	5887	7508
XRCC6	PRKDC	4.95093021622892	2547	5591
ERCC3	CCNH	4.95088123277616	2071	902
RAD51B	XRCC2	4.94994502869266	5890	7516
CUL5	CUL4A	4.94968592094614	8065	8451
UIMC1	BABAM2	4.94758746776468	51720	9577
RPA4	RPA1	4.94603358653622	29935	6117
CCNA2	CCNB1	4.94587817765714	890	891
DCLRE1B	DCLRE1A	4.94562792090324	64858	9937
ABRAXAS1	BABAM2	4.94327648121854	84142	9577
ERCC3	GTF2H4	4.9420742382843	2071	2968
ERCC3	MNAT1	4.93726513177888	2071	4331
UIMC1	BRCC3	4.93688843709454	51720	79184
RAD51	RAD52	4.93625000670871	5888	5893
SMARCB1	SMARCD1	4.93584313864582	6598	6602
BRCC3	BABAM2	4.93558373927568	79184	9577
SETDB2	SETDB1	4.93510793179563	83852	9869
CUL4A	RBX1	4.93485358408929	8451	9978
SMC2	NCAPG	4.93469948832342	10592	64151
GTF2H4	GTF2H5	4.93402692645324	2968	404672
TADA1	SUPT7L	4.93395622543337	117143	9913
DR1	POLE3	4.93395028697862	1810	54107
DKC1	GAR1	4.93381866569596	1736	54433
CUL5	CUL4B	4.933306050491	8065	8450
H4C15	H4C6	4.93251727706091	554313	8361
H4C6	H4C2	4.93251727706091	8361	8366
H4C1	H4C8	4.93251727706091	8359	8365
H4C8	H4C2	4.93251727706091	8365	8366
H4C1	H4C13	4.93251727706091	8359	8368
H4C4	H4C2	4.93251727706091	8360	8366
H4C3	H4C2	4.93251727706091	8364	8366
H4-16	H4C6	4.93251727706091	121504	8361
H4C2	H4C14	4.93251727706091	8366	8370
H4C4	H4C8	4.93251727706091	8360	8365
H4-16	H4C15	4.93251727706091	121504	554313
H4C9	H4C8	4.93251727706091	8294	8365
H4C4	H4C12	4.93251727706091	8360	8362
H4C15	H4C5	4.93251727706091	554313	8367
H4C15	H4C3	4.93251727706091	554313	8364
H4C15	H4C9	4.93251727706091	554313	8294
H4C11	H4C5	4.93251727706091	8363	8367
H4-16	H4C11	4.93251727706091	121504	8363
H4C12	H4C5	4.93251727706091	8362	8367
H4C12	H4C3	4.93251727706091	8362	8364
H4C9	H4C5	4.93251727706091	8294	8367
H4-16	H4C12	4.93251727706091	121504	8362
H4C15	H4C2	4.93251727706091	554313	8366
H4C4	H4C6	4.93251727706091	8360	8361
H4C15	H4C8	4.93251727706091	554313	8365
H4C12	H4C8	4.93251727706091	8362	8365
H4C13	H4C14	4.93251727706091	8368	8370
H4C15	H4C13	4.93251727706091	554313	8368
H4-16	H4C2	4.93251727706091	121504	8366
H4C1	H4C6	4.93251727706091	8359	8361
H4C8	H4C5	4.93251727706091	8365	8367
H4C1	H4C5	4.93251727706091	8359	8367
H4C9	H4C4	4.93251727706091	8294	8360
H4C11	H4C14	4.93251727706091	8363	8370
H4-16	H4C14	4.93251727706091	121504	8370
H4C12	H4C11	4.93251727706091	8362	8363
H4-16	H4C1	4.93251727706091	121504	8359
H4C6	H4C5	4.93251727706091	8361	8367
H4C1	H4C2	4.93251727706091	8359	8366
H4C3	H4C14	4.93251727706091	8364	8370
H4C9	H4C3	4.93251727706091	8294	8364
H4C1	H4C14	4.93251727706091	8359	8370
H4C4	H4C5	4.93251727706091	8360	8367
H4C2	H4C13	4.93251727706091	8366	8368
H4C4	H4C3	4.93251727706091	8360	8364
H4C9	H4C14	4.93251727706091	8294	8370
H4C3	H4C13	4.93251727706091	8364	8368
H4C9	H4C12	4.93251727706091	8294	8362
H4C3	H4C5	4.93251727706091	8364	8367
H4C9	H4C2	4.93251727706091	8294	8366
H4C4	H4C11	4.93251727706091	8360	8363
H4-16	H4C4	4.93251727706091	121504	8360
H4C15	H4C4	4.93251727706091	554313	8360
H4C1	H4C11	4.93251727706091	8359	8363
H4C9	H4C11	4.93251727706091	8294	8363
H4C1	H4C12	4.93251727706091	8359	8362
H4-16	H4C8	4.93251727706091	121504	8365
H4C3	H4C8	4.93251727706091	8364	8365
H4C11	H4C2	4.93251727706091	8363	8366
H4-16	H4C5	4.93251727706091	121504	8367
H4C11	H4C13	4.93251727706091	8363	8368
H4C6	H4C14	4.93251727706091	8361	8370
H4C4	H4C14	4.93251727706091	8360	8370
H4-16	H4C13	4.93251727706091	121504	8368
H4C5	H4C14	4.93251727706091	8367	8370
H4C9	H4C1	4.93251727706091	8294	8359
H4C1	H4C3	4.93251727706091	8359	8364
H4C15	H4C12	4.93251727706091	554313	8362
H4C5	H4C13	4.93251727706091	8367	8368
H4C11	H4C3	4.93251727706091	8363	8364
H4-16	H4C3	4.93251727706091	121504	8364
H4C1	H4C4	4.93251727706091	8359	8360
H4C12	H4C14	4.93251727706091	8362	8370
H4C12	H4C2	4.93251727706091	8362	8366
H4C6	H4C12	4.93251727706091	8361	8362
H4C8	H4C13	4.93251727706091	8365	8368
H4-16	H4C9	4.93251727706091	121504	8294
H4C4	H4C13	4.93251727706091	8360	8368
H4C8	H4C14	4.93251727706091	8365	8370
H4C12	H4C13	4.93251727706091	8362	8368
H4C6	H4C11	4.93251727706091	8361	8363
H4C11	H4C8	4.93251727706091	8363	8365
H4C15	H4C11	4.93251727706091	554313	8363
H4C6	H4C8	4.93251727706091	8361	8365
H4C6	H4C13	4.93251727706091	8361	8368
H4C6	H4C3	4.93251727706091	8361	8364
RAD51AP1	RAD51	4.93046347752978	10635	5888
POLE3	POLE	4.92964157047061	54107	5426
CREBBP	RELA	4.92908024863908	1387	5970
